,font,category,isin_laten,data_type
109,SignikaNegativeSC-Regular,SANS_SERIF,True,train
110,SignikaNegativeSC-Bold,SANS_SERIF,True,train
111,SignikaNegativeSC-SemiBold,SANS_SERIF,True,train
112,FasterOne-Regular,DISPLAY,True,train
113,Metrophobic-Regular,SANS_SERIF,True,train
114,Arizonia-Regular,HANDWRITING,True,train
115,"Truculenta[opsz,wdth,wght]",SANS_SERIF,True,train
116,Sofia-Regular,HANDWRITING,True,train
117,BrunoAce-Regular,SANS_SERIF,True,train
118,Griffy-Regular,DISPLAY,True,train
119,FjordOne-Regular,SERIF,True,train
120,UncialAntiqua-Regular,DISPLAY,True,train
121,Kanit-ExtraBold,SANS_SERIF,True,train
122,Kanit-BoldItalic,SANS_SERIF,True,train
123,Kanit-Bold,SANS_SERIF,True,train
124,Kanit-Thin,SANS_SERIF,True,train
125,Kanit-BlackItalic,SANS_SERIF,True,train
126,Kanit-Italic,SANS_SERIF,True,train
127,Kanit-LightItalic,SANS_SERIF,True,train
128,Kanit-ExtraBoldItalic,SANS_SERIF,True,train
129,Kanit-Light,SANS_SERIF,True,train
130,Kanit-ExtraLight,SANS_SERIF,True,train
131,Kanit-Medium,SANS_SERIF,True,train
132,Kanit-MediumItalic,SANS_SERIF,True,train
133,Kanit-Black,SANS_SERIF,True,train
134,Kanit-SemiBold,SANS_SERIF,True,train
135,Kanit-SemiBoldItalic,SANS_SERIF,True,train
136,Kanit-ThinItalic,SANS_SERIF,True,train
137,Kanit-Regular,SANS_SERIF,True,train
138,Kanit-ExtraLightItalic,SANS_SERIF,True,train
139,Ephesis-Regular,HANDWRITING,True,train
140,HeptaSlab[wght],SERIF,True,train
141,IstokWeb-Italic,SANS_SERIF,True,train
142,IstokWeb-Regular,SANS_SERIF,True,train
143,IstokWeb-Bold,SANS_SERIF,True,train
144,IstokWeb-BoldItalic,SANS_SERIF,True,train
145,Marvel-BoldItalic,SANS_SERIF,True,train
146,Marvel-Italic,SANS_SERIF,True,train
147,Marvel-Regular,SANS_SERIF,True,train
148,Marvel-Bold,SANS_SERIF,True,train
149,Milonga-Regular,DISPLAY,True,train
150,Pavanam-Regular,SANS_SERIF,True,train
151,Cormorant[wght],SERIF,True,train
152,Cormorant-Italic[wght],SERIF,True,train
153,Faustina-Italic[wght],SERIF,True,train
154,Faustina[wght],SERIF,True,train
155,LondrinaOutline-Regular,DISPLAY,True,train
156,AbhayaLibre-Medium,SERIF,True,train
157,AbhayaLibre-SemiBold,SERIF,True,train
158,AbhayaLibre-Bold,SERIF,True,train
159,AbhayaLibre-ExtraBold,SERIF,True,train
160,AbhayaLibre-Regular,SERIF,True,train
161,JotiOne-Regular,DISPLAY,True,train
162,Dosis[wght],SANS_SERIF,True,train
163,SedgwickAve-Regular,HANDWRITING,True,train
164,Bangers-Regular,DISPLAY,True,train
165,JimNightshade-Regular,HANDWRITING,True,train
166,ZCOOLQingKeHuangYou-Regular,SANS_SERIF,True,train
167,NotoSansHK[wght],SANS_SERIF,True,train
168,HoltwoodOneSC,SERIF,True,train
169,Italiana-Regular,SERIF,True,train
170,Gupter-Bold,SERIF,True,train
171,Gupter-Medium,SERIF,True,train
172,Gupter-Regular,SERIF,True,train
173,Charmonman-Bold,HANDWRITING,True,train
174,Charmonman-Regular,HANDWRITING,True,train
175,KaiseiHarunoUmi-Bold,SERIF,True,train
176,KaiseiHarunoUmi-Regular,SERIF,True,train
177,KaiseiHarunoUmi-Medium,SERIF,True,train
178,NanumGothic-Regular,HANDWRITING,True,train
179,NanumGothic-Bold,HANDWRITING,True,train
180,NanumGothic-ExtraBold,HANDWRITING,True,train
181,TsukimiRounded-Medium,SANS_SERIF,True,train
182,TsukimiRounded-Light,SANS_SERIF,True,train
183,TsukimiRounded-Regular,SANS_SERIF,True,train
184,TsukimiRounded-SemiBold,SANS_SERIF,True,train
185,TsukimiRounded-Bold,SANS_SERIF,True,train
186,Gidugu-Regular,SANS_SERIF,True,train
187,Dhurjati-Regular,SANS_SERIF,True,train
188,JockeyOne-Regular,SANS_SERIF,True,train
189,ZCOOLKuaiLe-Regular,SANS_SERIF,True,train
190,Ribeye-Regular,DISPLAY,True,train
191,CinzelDecorative-Black,DISPLAY,True,train
192,CinzelDecorative-Bold,DISPLAY,True,train
193,CinzelDecorative-Regular,DISPLAY,True,train
194,"Texturina[opsz,wght]",SERIF,True,train
195,"Texturina-Italic[opsz,wght]",SERIF,True,train
196,Pompiere-Regular,DISPLAY,True,train
197,Neucha,HANDWRITING,True,train
198,Caladea-Italic,SERIF,True,train
199,Caladea-Bold,SERIF,True,train
200,Caladea-Regular,SERIF,True,train
201,Caladea-BoldItalic,SERIF,True,train
202,OleoScriptSwashCaps-Bold,DISPLAY,True,train
203,OleoScriptSwashCaps-Regular,DISPLAY,True,train
204,Livvic-ExtraLightItalic,SANS_SERIF,True,train
205,Livvic-Black,SANS_SERIF,True,train
206,Livvic-Regular,SANS_SERIF,True,train
207,Livvic-LightItalic,SANS_SERIF,True,train
208,Livvic-Light,SANS_SERIF,True,train
209,Livvic-SemiBold,SANS_SERIF,True,train
210,Livvic-SemiBoldItalic,SANS_SERIF,True,train
211,Livvic-ExtraLight,SANS_SERIF,True,train
212,Livvic-BlackItalic,SANS_SERIF,True,train
213,Livvic-Thin,SANS_SERIF,True,train
214,Livvic-Bold,SANS_SERIF,True,train
215,Livvic-MediumItalic,SANS_SERIF,True,train
216,Livvic-Medium,SANS_SERIF,True,train
217,Livvic-Italic,SANS_SERIF,True,train
218,Livvic-BoldItalic,SANS_SERIF,True,train
219,Livvic-ThinItalic,SANS_SERIF,True,train
220,EastSeaDokdo-Regular,HANDWRITING,True,train
221,YesevaOne-Regular,DISPLAY,True,train
222,DoppioOne-Regular,SANS_SERIF,True,train
223,PT_Sans-Web-Bold,SANS_SERIF,True,train
224,PT_Sans-Web-Regular,SANS_SERIF,True,train
225,PT_Sans-Web-BoldItalic,SANS_SERIF,True,train
226,PT_Sans-Web-Italic,SANS_SERIF,True,train
227,Prompt-ExtraBold,SANS_SERIF,True,train
228,Prompt-Black,SANS_SERIF,True,train
229,Prompt-Thin,SANS_SERIF,True,train
230,Prompt-LightItalic,SANS_SERIF,True,train
231,Prompt-ExtraLight,SANS_SERIF,True,train
232,Prompt-Light,SANS_SERIF,True,train
233,Prompt-ThinItalic,SANS_SERIF,True,train
234,Prompt-Bold,SANS_SERIF,True,train
235,Prompt-ExtraLightItalic,SANS_SERIF,True,train
236,Prompt-ExtraBoldItalic,SANS_SERIF,True,train
237,Prompt-Medium,SANS_SERIF,True,train
238,Prompt-MediumItalic,SANS_SERIF,True,train
239,Prompt-Regular,SANS_SERIF,True,train
240,Prompt-SemiBold,SANS_SERIF,True,train
241,Prompt-SemiBoldItalic,SANS_SERIF,True,train
242,Prompt-Italic,SANS_SERIF,True,train
243,Prompt-BoldItalic,SANS_SERIF,True,train
244,Prompt-BlackItalic,SANS_SERIF,True,train
245,KoHo-MediumItalic,SANS_SERIF,True,train
246,KoHo-LightItalic,SANS_SERIF,True,train
247,KoHo-ExtraLight,SANS_SERIF,True,train
248,KoHo-Light,SANS_SERIF,True,train
249,KoHo-SemiBoldItalic,SANS_SERIF,True,train
250,KoHo-Regular,SANS_SERIF,True,train
251,KoHo-SemiBold,SANS_SERIF,True,train
252,KoHo-ExtraLightItalic,SANS_SERIF,True,train
253,KoHo-Medium,SANS_SERIF,True,train
254,KoHo-Italic,SANS_SERIF,True,train
255,KoHo-Bold,SANS_SERIF,True,train
256,KoHo-BoldItalic,SANS_SERIF,True,train
257,Sedan-Italic,SERIF,True,train
258,Sedan-Regular,SERIF,True,train
259,PublicSans-Italic[wght],SANS_SERIF,True,train
260,PublicSans[wght],SANS_SERIF,True,train
261,GemunuLibre[wght],SANS_SERIF,True,train
262,YatraOne-Regular,DISPLAY,True,train
263,Caramel-Regular,HANDWRITING,True,train
264,Diplomata-Regular,DISPLAY,True,train
265,LakkiReddy-Regular,HANDWRITING,True,train
266,MateSC-Regular,SERIF,True,train
267,Acme-Regular,SANS_SERIF,True,train
268,IBMPlexSans-LightItalic,SANS_SERIF,True,train
269,IBMPlexSans-ThinItalic,SANS_SERIF,True,train
270,IBMPlexSans-Light,SANS_SERIF,True,train
271,IBMPlexSans-SemiBoldItalic,SANS_SERIF,True,train
272,IBMPlexSans-Regular,SANS_SERIF,True,train
273,IBMPlexSans-Bold,SANS_SERIF,True,train
274,IBMPlexSans-ExtraLightItalic,SANS_SERIF,True,train
275,IBMPlexSans-MediumItalic,SANS_SERIF,True,train
276,IBMPlexSans-SemiBold,SANS_SERIF,True,train
277,IBMPlexSans-ExtraLight,SANS_SERIF,True,train
278,IBMPlexSans-Thin,SANS_SERIF,True,train
279,IBMPlexSans-Medium,SANS_SERIF,True,train
280,IBMPlexSans-BoldItalic,SANS_SERIF,True,train
281,IBMPlexSans-Italic,SANS_SERIF,True,train
282,AveriaGruesaLibre-Regular,DISPLAY,True,train
283,HermeneusOne-Regular,SANS_SERIF,True,train
284,OvertheRainbow,HANDWRITING,True,train
286,ZCOOLXiaoWei-Regular,SANS_SERIF,True,train
287,SulphurPoint-Light,SANS_SERIF,True,train
288,SulphurPoint-Bold,SANS_SERIF,True,train
289,SulphurPoint-Regular,SANS_SERIF,True,train
290,Miama-Regular,HANDWRITING,True,train
291,Jost-Italic[wght],SANS_SERIF,True,train
292,Jost[wght],SANS_SERIF,True,train
293,DancingScript[wght],HANDWRITING,True,train
294,Rakkas-Regular,DISPLAY,True,train
295,CarterOne,DISPLAY,True,train
296,ABeeZee-Italic,SANS_SERIF,True,train
297,ABeeZee-Regular,SANS_SERIF,True,train
298,Ballet[opsz],HANDWRITING,True,train
299,PT_Serif-Caption-Web-Regular,SERIF,True,train
300,PT_Serif-Caption-Web-Italic,SERIF,True,train
301,Castoro-Regular,SERIF,True,train
302,Castoro-Italic,SERIF,True,train
303,ChelaOne-Regular,DISPLAY,True,train
304,Shrikhand-Regular,DISPLAY,True,train
305,PatrickHandSC-Regular,HANDWRITING,True,train
306,PirataOne-Regular,DISPLAY,True,train
307,Cedarville-Cursive,HANDWRITING,True,train
308,HinaMincho-Regular,SERIF,True,train
309,SedgwickAveDisplay-Regular,HANDWRITING,True,train
310,Rubik-Italic[wght],SANS_SERIF,True,train
311,Rubik[wght],SANS_SERIF,True,train
312,AlegreyaSC-MediumItalic,SERIF,True,train
313,AlegreyaSC-BlackItalic,SERIF,True,train
314,AlegreyaSC-ExtraBoldItalic,SERIF,True,train
315,AlegreyaSC-BoldItalic,SERIF,True,train
316,AlegreyaSC-Regular,SERIF,True,train
317,AlegreyaSC-Medium,SERIF,True,train
318,AlegreyaSC-Italic,SERIF,True,train
319,AlegreyaSC-Black,SERIF,True,train
320,AlegreyaSC-Bold,SERIF,True,train
321,AlegreyaSC-ExtraBold,SERIF,True,train
322,IMFeGPsc28P,SERIF,True,train
323,Fahkwang-SemiBold,SANS_SERIF,True,train
324,Fahkwang-Regular,SANS_SERIF,True,train
325,Fahkwang-Italic,SANS_SERIF,True,train
326,Fahkwang-Light,SANS_SERIF,True,train
327,Fahkwang-Bold,SANS_SERIF,True,train
328,Fahkwang-SemiBoldItalic,SANS_SERIF,True,train
329,Fahkwang-ExtraLight,SANS_SERIF,True,train
330,Fahkwang-MediumItalic,SANS_SERIF,True,train
331,Fahkwang-LightItalic,SANS_SERIF,True,train
332,Fahkwang-ExtraLightItalic,SANS_SERIF,True,train
333,Fahkwang-BoldItalic,SANS_SERIF,True,train
334,Fahkwang-Medium,SANS_SERIF,True,train
335,Knewave-Regular,DISPLAY,True,train
336,CoveredByYourGrace,HANDWRITING,True,train
337,DidactGothic-Regular,SANS_SERIF,True,train
338,Inika-Regular,SERIF,True,train
339,Inika-Bold,SERIF,True,train
340,YaldeviColombo-ExtraLight,SANS_SERIF,True,train
341,YaldeviColombo-Bold,SANS_SERIF,True,train
342,YaldeviColombo-Regular,SANS_SERIF,True,train
343,YaldeviColombo-SemiBold,SANS_SERIF,True,train
344,YaldeviColombo-Medium,SANS_SERIF,True,train
345,YaldeviColombo-Light,SANS_SERIF,True,train
346,AnnieUseYourTelescope-Regular,HANDWRITING,True,train
347,SirinStencil-Regular,DISPLAY,True,train
348,Numans-Regular,SANS_SERIF,True,train
349,Almendra-BoldItalic,SERIF,True,train
350,Almendra-Italic,SERIF,True,train
351,Almendra-Regular,SERIF,True,train
352,Almendra-Bold,SERIF,True,train
353,Domine[wght],SERIF,True,train
354,Volkhov-BoldItalic,SERIF,True,train
355,Volkhov-Bold,SERIF,True,train
356,Volkhov-Regular,SERIF,True,train
357,Volkhov-Italic,SERIF,True,train
358,Brawler-Regular,SERIF,True,train
359,Brawler-Bold,SERIF,True,train
360,MavenPro[wght],SANS_SERIF,True,train
361,GildaDisplay-Regular,SERIF,True,train
362,Bokor-Regular,DISPLAY,True,train
363,Esteban-Regular,SERIF,True,train
364,SixCaps,SANS_SERIF,True,train
365,RUSerius-Regular,HANDWRITING,True,train
366,BonheurRoyale-Regular,HANDWRITING,True,train
367,CormorantSC-Bold,SERIF,True,train
368,CormorantSC-SemiBold,SERIF,True,train
369,CormorantSC-Medium,SERIF,True,train
370,CormorantSC-Light,SERIF,True,train
371,CormorantSC-Regular,SERIF,True,train
372,WendyOne-Regular,SANS_SERIF,True,train
373,Heebo[wght],SANS_SERIF,True,train
374,Aubrey-Regular,DISPLAY,True,train
375,IBMPlexSansThaiLooped-ExtraLight,SANS_SERIF,True,train
376,IBMPlexSansThaiLooped-Thin,SANS_SERIF,True,train
377,IBMPlexSansThaiLooped-Light,SANS_SERIF,True,train
378,IBMPlexSansThaiLooped-Regular,SANS_SERIF,True,train
379,IBMPlexSansThaiLooped-Medium,SANS_SERIF,True,train
380,IBMPlexSansThaiLooped-SemiBold,SANS_SERIF,True,train
381,IBMPlexSansThaiLooped-Bold,SANS_SERIF,True,train
382,ElMessiri[wght],SANS_SERIF,True,train
383,NotoSerifTC[wght],SERIF,True,train
384,Imprima-Regular,SANS_SERIF,True,train
385,MrBedfort-Regular,HANDWRITING,True,train
386,ShipporiAntique-Regular,SANS_SERIF,True,train
387,Mukta-Light,SANS_SERIF,True,train
388,Mukta-Regular,SANS_SERIF,True,train
389,Mukta-ExtraLight,SANS_SERIF,True,train
390,Mukta-ExtraBold,SANS_SERIF,True,train
391,Mukta-Medium,SANS_SERIF,True,train
392,Mukta-Bold,SANS_SERIF,True,train
393,Mukta-SemiBold,SANS_SERIF,True,train
394,Rosario-Italic[wght],SANS_SERIF,True,train
395,Rosario[wght],SANS_SERIF,True,train
396,MonsieurLaDoulaise-Regular,HANDWRITING,True,train
397,Fasthand-Regular,DISPLAY,True,train
398,"Asap[wdth,wght]",SANS_SERIF,True,train
399,"Asap-Italic[wdth,wght]",SANS_SERIF,True,train
400,Delius-Regular,HANDWRITING,True,train
401,Dangrek-Regular,DISPLAY,True,train
402,GowunDodum-Regular,SANS_SERIF,True,train
403,TextMeOne-Regular,SANS_SERIF,True,train
404,LibreBarcode39ExtendedText-Regular,DISPLAY,True,train
405,"NotoSansDisplay[wdth,wght]",SANS_SERIF,True,train
406,"NotoSansDisplay-Italic[wdth,wght]",SANS_SERIF,True,train
407,Homenaje-Regular,SANS_SERIF,True,train
408,PassionOne-Bold,DISPLAY,True,train
409,PassionOne-Black,DISPLAY,True,train
410,PassionOne-Regular,DISPLAY,True,train
411,Petrona-Italic[wght],SERIF,True,train
412,Petrona[wght],SERIF,True,train
413,Fondamento-Regular,HANDWRITING,True,train
414,Fondamento-Italic,HANDWRITING,True,train
415,Quintessential-Regular,HANDWRITING,True,train
416,ReggaeOne-Regular,DISPLAY,True,train
417,Righteous-Regular,DISPLAY,True,train
418,DiplomataSC-Regular,DISPLAY,True,train
419,PostNoBillsColombo-SemiBold,DISPLAY,True,train
420,PostNoBillsColombo-Bold,DISPLAY,True,train
421,PostNoBillsColombo-Regular,DISPLAY,True,train
422,PostNoBillsColombo-Medium,DISPLAY,True,train
423,PostNoBillsColombo-ExtraBold,DISPLAY,True,train
424,PostNoBillsColombo-Light,DISPLAY,True,train
425,MontserratSubrayada-Regular,SANS_SERIF,True,train
426,MontserratSubrayada-Bold,SANS_SERIF,True,train
427,KaiseiDecol-Medium,SERIF,True,train
428,KaiseiDecol-Bold,SERIF,True,train
429,KaiseiDecol-Regular,SERIF,True,train
430,Amarante-Regular,DISPLAY,True,train
431,Wellfleet-Regular,DISPLAY,True,train
432,Oregano-Regular,DISPLAY,True,train
433,Oregano-Italic,DISPLAY,True,train
434,BethEllen-Regular,HANDWRITING,True,train
435,InknutAntiqua-Light,SERIF,True,train
436,InknutAntiqua-SemiBold,SERIF,True,train
437,InknutAntiqua-Medium,SERIF,True,train
438,InknutAntiqua-Regular,SERIF,True,train
439,InknutAntiqua-Black,SERIF,True,train
440,InknutAntiqua-Bold,SERIF,True,train
441,InknutAntiqua-ExtraBold,SERIF,True,train
442,"Literata-Italic[opsz,wght]",SERIF,True,train
443,"Literata[opsz,wght]",SERIF,True,train
444,Trirong-BoldItalic,SERIF,True,train
445,Trirong-ExtraLightItalic,SERIF,True,train
446,Trirong-SemiBold,SERIF,True,train
447,Trirong-SemiBoldItalic,SERIF,True,train
448,Trirong-ThinItalic,SERIF,True,train
449,Trirong-ExtraLight,SERIF,True,train
450,Trirong-LightItalic,SERIF,True,train
451,Trirong-Regular,SERIF,True,train
452,Trirong-Medium,SERIF,True,train
453,Trirong-Thin,SERIF,True,train
454,Trirong-MediumItalic,SERIF,True,train
455,Trirong-ExtraBoldItalic,SERIF,True,train
456,Trirong-ExtraBold,SERIF,True,train
457,Trirong-Light,SERIF,True,train
458,Trirong-Black,SERIF,True,train
459,Trirong-Bold,SERIF,True,train
460,Trirong-Italic,SERIF,True,train
461,Trirong-BlackItalic,SERIF,True,train
462,DoHyeon-Regular,SANS_SERIF,True,train
463,BowlbyOneSC-Regular,DISPLAY,True,train
464,Simonetta-BlackItalic,DISPLAY,True,train
465,Simonetta-Black,DISPLAY,True,train
466,Simonetta-Italic,DISPLAY,True,train
467,Simonetta-Regular,DISPLAY,True,train
468,IBMPlexSansHebrew-SemiBold,SANS_SERIF,True,train
469,IBMPlexSansHebrew-Regular,SANS_SERIF,True,train
470,IBMPlexSansHebrew-Light,SANS_SERIF,True,train
471,IBMPlexSansHebrew-Medium,SANS_SERIF,True,train
472,IBMPlexSansHebrew-Thin,SANS_SERIF,True,train
473,IBMPlexSansHebrew-ExtraLight,SANS_SERIF,True,train
474,IBMPlexSansHebrew-Bold,SANS_SERIF,True,train
475,DotGothic16-Regular,SANS_SERIF,True,train
476,ArimaMadurai-ExtraBold,DISPLAY,True,train
477,ArimaMadurai-Light,DISPLAY,True,train
478,ArimaMadurai-Regular,DISPLAY,True,train
479,ArimaMadurai-Medium,DISPLAY,True,train
480,ArimaMadurai-Black,DISPLAY,True,train
481,ArimaMadurai-Bold,DISPLAY,True,train
482,ArimaMadurai-Thin,DISPLAY,True,train
483,ArimaMadurai-ExtraLight,DISPLAY,True,train
484,Yrsa[wght],SERIF,True,train
485,Yrsa-Italic[wght],SERIF,True,train
486,IbarraRealNova[wght],SERIF,True,train
487,IbarraRealNova-Italic[wght],SERIF,True,train
488,NTR-Regular,SANS_SERIF,True,train
489,UnicaOne-Regular,DISPLAY,True,train
490,BarlowCondensed-Italic,SANS_SERIF,True,train
491,BarlowCondensed-Light,SANS_SERIF,True,train
492,BarlowCondensed-Thin,SANS_SERIF,True,train
493,BarlowCondensed-Bold,SANS_SERIF,True,train
494,BarlowCondensed-ExtraLightItalic,SANS_SERIF,True,train
495,BarlowCondensed-Regular,SANS_SERIF,True,train
496,BarlowCondensed-LightItalic,SANS_SERIF,True,train
497,BarlowCondensed-BoldItalic,SANS_SERIF,True,train
498,BarlowCondensed-SemiBoldItalic,SANS_SERIF,True,train
499,BarlowCondensed-SemiBold,SANS_SERIF,True,train
500,BarlowCondensed-ThinItalic,SANS_SERIF,True,train
501,BarlowCondensed-BlackItalic,SANS_SERIF,True,train
502,BarlowCondensed-MediumItalic,SANS_SERIF,True,train
503,BarlowCondensed-ExtraBold,SANS_SERIF,True,train
504,BarlowCondensed-ExtraBoldItalic,SANS_SERIF,True,train
505,BarlowCondensed-Black,SANS_SERIF,True,train
506,BarlowCondensed-ExtraLight,SANS_SERIF,True,train
507,BarlowCondensed-Medium,SANS_SERIF,True,train
508,Stick-Regular,SANS_SERIF,True,train
509,Calistoga-Regular,DISPLAY,True,train
510,AsapCondensed-SemiBoldItalic,SANS_SERIF,True,train
511,AsapCondensed-ExtraLight,SANS_SERIF,True,train
512,AsapCondensed-ExtraBold,SANS_SERIF,True,train
513,AsapCondensed-Medium,SANS_SERIF,True,train
514,AsapCondensed-BoldItalic,SANS_SERIF,True,train
515,AsapCondensed-BlackItalic,SANS_SERIF,True,train
516,AsapCondensed-Light,SANS_SERIF,True,train
517,AsapCondensed-Italic,SANS_SERIF,True,train
518,AsapCondensed-Black,SANS_SERIF,True,train
519,AsapCondensed-ExtraBoldItalic,SANS_SERIF,True,train
520,AsapCondensed-ExtraLightItalic,SANS_SERIF,True,train
521,AsapCondensed-MediumItalic,SANS_SERIF,True,train
522,AsapCondensed-SemiBold,SANS_SERIF,True,train
523,AsapCondensed-Regular,SANS_SERIF,True,train
524,AsapCondensed-LightItalic,SANS_SERIF,True,train
525,AsapCondensed-Bold,SANS_SERIF,True,train
526,Romanesco-Regular,HANDWRITING,True,train
527,IMFePIrm28P,SERIF,True,train
528,IMFePIit28P,SERIF,True,train
529,FreckleFace-Regular,DISPLAY,True,train
530,ChauPhilomeneOne-Italic,SANS_SERIF,True,train
531,ChauPhilomeneOne-Regular,SANS_SERIF,True,train
532,YuseiMagic-Regular,SANS_SERIF,True,train
533,Play-Bold,SANS_SERIF,True,train
534,Play-Regular,SANS_SERIF,True,train
535,Vibur-Regular,HANDWRITING,True,train
536,ElsieSwashCaps-Regular,DISPLAY,True,train
537,ElsieSwashCaps-Black,DISPLAY,True,train
538,RedactedScript-Light,HANDWRITING,True,train
539,RedactedScript-Bold,HANDWRITING,True,train
540,RedactedScript-Regular,HANDWRITING,True,train
541,SigmarOne-Regular,DISPLAY,True,train
